2023-02-13 20:20:10.111 | INFO     | 140704733735104 | spider.task.crawl_task:init_queue:42 | 爬虫任务 doctor_status 开始初始化队列
2023-02-13 20:20:10.457 | INFO     | 140704733735104 | spider.task.crawl_task:init_queue:46 | 爬虫任务 doctor_status 初始化队列成功，需要爬取数据量为 30772
2023-02-13 20:20:10.458 | INFO     | 123145407922176 | spider.task.crawl_task:task_action:50 | 爬虫任务 doctor_status, id: clinic_waike_xuxiequn 执行
2023-02-13 20:20:10.468 | INFO     | 123145407922176 | spider.decorators.crawl_decorator:wrapper:36 | 方法doctor_detail_page_status_mapping完成爬取，参数：['clinic_waike_xuxiequn', 720]	
2023-02-13 20:20:10.469 | INFO     | 123145407922176 | spider.task.crawl_task:task_action:50 | 爬虫任务 doctor_status, id: clinic_web_88722f35e987eaf1 执行
2023-02-13 20:20:10.470 | INFO     | 123145407922176 | spider.decorators.crawl_decorator:wrapper:36 | 方法doctor_detail_page_status_mapping完成爬取，参数：['clinic_web_88722f35e987eaf1', 720]	
2023-02-13 20:20:10.470 | INFO     | 123145407922176 | spider.task.crawl_task:task_action:50 | 爬虫任务 doctor_status, id: clinic_web_376e3fa47942ae20 执行
2023-02-13 20:20:10.471 | INFO     | 123145407922176 | spider.decorators.crawl_decorator:wrapper:36 | 方法doctor_detail_page_status_mapping完成爬取，参数：['clinic_web_376e3fa47942ae20', 720]	
2023-02-13 20:20:10.471 | INFO     | 123145407922176 | spider.task.crawl_task:task_action:50 | 爬虫任务 doctor_status, id: clinic_web_3ae3c4d1de86bd30 执行
2023-02-13 20:20:10.472 | INFO     | 123145407922176 | spider.decorators.crawl_decorator:wrapper:36 | 方法doctor_detail_page_status_mapping完成爬取，参数：['clinic_web_3ae3c4d1de86bd30', 720]	
2023-02-13 20:20:10.472 | INFO     | 123145407922176 | spider.task.crawl_task:task_action:50 | 爬虫任务 doctor_status, id: 2a82a178d3baa9a7b308 执行
2023-02-13 20:20:10.473 | INFO     | 123145407922176 | spider.decorators.crawl_decorator:wrapper:36 | 方法doctor_detail_page_status_mapping完成爬取，参数：['2a82a178d3baa9a7b308', 720]	
2023-02-13 20:20:10.473 | INFO     | 123145407922176 | spider.task.crawl_task:task_action:50 | 爬虫任务 doctor_status, id: c5b21273ea546904df00 执行
2023-02-13 20:20:10.474 | INFO     | 123145407922176 | spider.decorators.crawl_decorator:wrapper:36 | 方法doctor_detail_page_status_mapping完成爬取，参数：['c5b21273ea546904df00', 720]	
2023-02-13 20:20:10.474 | INFO     | 123145407922176 | spider.task.crawl_task:task_action:50 | 爬虫任务 doctor_status, id: f39b11d265d794a7e42f 执行
2023-02-13 20:20:10.475 | INFO     | 123145407922176 | spider.decorators.crawl_decorator:wrapper:36 | 方法doctor_detail_page_status_mapping完成爬取，参数：['f39b11d265d794a7e42f', 720]	
2023-02-13 20:20:10.475 | INFO     | 123145407922176 | spider.task.crawl_task:task_action:50 | 爬虫任务 doctor_status, id: clinic_web_44a1d39765ca491c 执行
2023-02-13 20:20:10.477 | INFO     | 123145407922176 | spider.decorators.crawl_decorator:wrapper:36 | 方法doctor_detail_page_status_mapping完成爬取，参数：['clinic_web_44a1d39765ca491c', 720]	
2023-02-13 20:20:10.477 | INFO     | 123145407922176 | spider.task.crawl_task:task_action:50 | 爬虫任务 doctor_status, id: 2f2050dde0b5c553b880 执行
2023-02-13 20:20:10.478 | INFO     | 123145407922176 | spider.decorators.crawl_decorator:wrapper:36 | 方法doctor_detail_page_status_mapping完成爬取，参数：['2f2050dde0b5c553b880', 720]	
2023-02-13 20:20:10.478 | INFO     | 123145407922176 | spider.task.crawl_task:task_action:50 | 爬虫任务 doctor_status, id: fd2dad1a0bc060b75ba0 执行
2023-02-13 20:20:10.479 | INFO     | 123145407922176 | spider.decorators.crawl_decorator:wrapper:36 | 方法doctor_detail_page_status_mapping完成爬取，参数：['fd2dad1a0bc060b75ba0', 720]	
2023-02-13 20:20:10.479 | INFO     | 123145407922176 | spider.task.crawl_task:task_action:50 | 爬虫任务 doctor_status, id: clinic_web_baac88ef7892ad69 执行
2023-02-13 20:20:10.480 | INFO     | 123145407922176 | spider.decorators.crawl_decorator:wrapper:36 | 方法doctor_detail_page_status_mapping完成爬取，参数：['clinic_web_baac88ef7892ad69', 720]	
